date,value
2023-11-16,4.987628330328526e-10
2023-11-17,5.034230706630609e-10
2023-11-20,5.093846091245993e-10
2023-11-21,5.158076985677083e-10
2023-11-22,5.119871794871795e-10
2023-11-23,5.063205190805289e-10
2023-11-24,5.102564102564103e-10
2023-11-27,5.196923202123397e-10
2023-11-28,5.188141025641026e-10
2023-11-29,5.134166541466346e-10
2023-11-30,5.09525647285657e-10
2023-12-01,5.016437377929687e-10
2023-12-04,5.054500122070313e-10
2023-12-05,5.035874938964844e-10
2023-12-06,4.909437561035156e-10
2023-12-07,4.986749877929688e-10
2023-12-08,4.946124877929687e-10
2023-12-11,4.830249938964844e-10
2023-12-12,4.843062438964844e-10
2023-12-13,4.705812377929688e-10
2023-12-14,4.883374938964844e-10
2023-12-15,4.996187438964844e-10
2023-12-18,4.868999938964844e-10
2023-12-19,4.828687438964844e-10
2023-12-20,4.789312438964844e-10
2023-12-21,4.853125e-10
2023-12-22,4.723500061035156e-10
2023-12-26,4.5620623779296877e-10
2023-12-27,4.537749938964844e-10
2023-12-28,4.6226873779296877e-10
2023-12-29,4.668875122070313e-10
2024-01-02,4.6489632955411584e-10
2024-01-03,4.5195121951219513e-10
2024-01-04,4.6023169540777437e-10
2024-01-05,4.6516464605564023e-10
2024-01-08,4.767621891673018e-10
2024-01-09,4.717255978467987e-10
2024-01-10,4.801341582507622e-10
2024-01-11,4.814634146341463e-10
2024-01-12,4.869817073170732e-10
2024-01-15,4.904878048780487e-10
2024-01-16,4.897683045922257e-10
2024-01-17,4.892926769721798e-10
2024-01-18,4.887865913205031e-10
2024-01-19,4.876036704458841e-10
2024-01-22,4.884207376619665e-10
2024-01-23,4.847622010766007e-10
2024-01-24,4.933475550209604e-10
2024-01-25,4.981646281916921e-10
2024-01-26,5.089207197980183e-10
2024-01-29,5.165670850800305e-10
2024-01-30,5.167255978467988e-10
2024-01-31,5.180914753239329e-10
2024-02-01,5.146487862723214e-10
2024-02-02,5.158154878162203e-10
2024-02-05,5.224226306733631e-10
2024-02-06,5.27922595796131e-10
2024-02-07,5.263690476190476e-10
2024-02-08,5.327261788504464e-10
2024-02-09,5.384523809523809e-10
2024-02-12,5.461071196056548e-10
2024-02-13,5.353571428571428e-10
2024-02-14,5.400059291294643e-10
